"country","value","pop"
"Japan",237541,"126476.4610"
"Venezuela",214449,"28435.9400"
"Sudan",177868,0
"Greece",174151,"10423.0540"
"Lebanon",157808,"6825.4450"
"Italy",133427,"60461.8260"
"Eritrea",127343,"3546.4210"
"Cape Verde",125290,"555.9870"
"Mozambique",124463,"31255.4350"
"Portugal",119458,"10196.7090"
"Barbados",117274,"287.3750"
"Singapore",109373,"5850.3420"
"United States",106702,"331002.6510"
"Bhutan",103848,"771.6080"
"Cyprus",101043,"1207.3590"
"Bahrain",100189,"1701.5750"
"Belgium",99568,"11589.6230"
"France",99196,"65273.5110"
"Spain",95962,"46754.7780"
"Jordan",94834,"10203.1340"
"Jamaica",94133,"2961.1670"
"Belize",92637,"397.6280"
"Angola",90456,"32866.2720"
"Brazil",90360,"212559.4170"
"Republic of the Congo",90189,"5518.0870"
"Antigua and Barbuda",88348,"97.9290"
"Canada",88013,"37742.1540"
"Egypt",86927,"102334.4040"
"United Kingdom",85665,"67886.0110"
"Aruba",83572,"106.7660"
"Sri Lanka",82990,"21413.2490"
"Tunisia",81549,"11818.6190"
"Mauritania",80615,"4649.6580"
"Zambia",80501,"18383.9550"
"Dominica",79842,"71.9860"
"Gambia",78669,"2416.6680"
"San Marino",77123,"33.9310"
"Pakistan",76995,"220892.3400"
"Argentina",75901,"45195.7740"
"Sao Tome and Principe",74100,"219.1590"
"Sierra Leone",72372,"7976.9830"
"Suriname",72046,"586.6320"
"Saint Lucia",71624,"183.6270"
"Saint Vincent and the Grenadines",71377,"110.9400"
"Uruguay",71344,"3473.7300"
"Austria",71168,"9006.3980"
"Croatia",70734,"4105.2670"
"Montenegro",70576,"628.0660"
"Togo",70395,"8278.7240"
"India",69037,"1380004.3850"
"El Salvador",68098,"6486.2050"
"Mauritius",67495,"1271.7680"
"Hungary",66618,"9660.3510"
"Slovenia",65441,"2078.9380"
"Albania",65125,"2877.7970"
"Morocco",65110,"36910.5600"
"Laos",64125,"7275.5600"
"Burundi",63542,"11890.7840"
"Djibouti",62986,988
"Ireland",62418,"4937.7860"
"Ukraine",62029,"43733.7620"
"Senegal",61999,"16743.9270"
"Ghana",61991,"31072.9400"
"Maldives",61434,"540.5440"
"Oman",61293,"5106.6260"
"Bahamas",60492,"393.2440"
"Nauru",60391,"10.8240"
"Finland",59881,"5540.7200"
"Saint Kitts and Nevis",59494,"53.1990"
"Malawi",59012,"19129.9520"
"Israel",58959,"8655.5350"
"Gabon",58482,"2225.7340"
"South Africa",57810,"59308.6900"
"Puerto Rico",57703,"2860.8530"
"Ethiopia",57428,"114963.5880"
"Vietnam",57363,"97338.5790"
"Guyana",57217,"786.5520"
"Bolivia",57111,"11673.0210"
"Germany",56934,"83783.9420"
"Malaysia",56318,"32365.9990"
"Costa Rica",56150,"5094.1180"
"Grenada",56122,"112.5230"
"Kyrgyzstan",56089,"6524.1950"
"Niger",55604,"24206.6440"
"Kenya",55502,"53771.2960"
"China",55362,"1439323.7760"
"Guinea-Bissau",54918,"1968.0010"
"Yemen",54506,"29825.9640"
"Seychelles",54492,"98.3470"
"Mexico",54111,"128932.7530"
"Benin",53998,"12123.2000"
"Qatar",52738,"2881.0530"
"Vanuatu",52183,"307.1450"
"Netherlands",52045,"17134.8720"
"Namibia",51599,"2540.9050"
"Belarus",51081,"9449.3230"
"Serbia",50947,"8737.3710"
"Ivory Coast",50918,"26378.2740"
"Iraq",50248,"40222.4930"
"Fiji",50221,"896.4450"
"Rwanda",49997,"12952.2180"
"Trinidad and Tobago",49751,"1399.4880"
"Tajikistan",49462,"9537.6450"
"Samoa",49436,"198.4140"
"Ecuador",49199,"17643.0540"
"Colombia",49160,"50882.8910"
"Armenia",47952,"2963.2430"
"Poland",47475,"37846.6110"
"Algeria",46918,"43851.0440"
"Slovakia",46896,"5459.6420"
"Liberia",46664,"5057.6810"
"Guinea",45975,"13132.7950"
"Georgia",45045,"3989.1670"
"Uganda",44810,"45741.0070"
"Chad",42912,"16425.8640"
"Burkina Faso",42465,"20903.2730"
"Malta",42458,"441.5430"
"Central African Republic",42247,"4829.7670"
"Dominican Republic",41922,"10847.9100"
"Thailand",41474,"69799.9780"
"Swaziland",41113,"1160.1640"
"Australia",41098,"25499.8840"
"Madagascar",41017,"27691.0180"
"Nicaragua",40879,"6624.5540"
"Honduras",40804,"9904.6070"
"South Korea",40541,"51269.1850"
"Macedonia",40483,"2083.3740"
"Switzerland",39486,"8654.6220"
"Myanmar",39193,"54409.8000"
"Philippines",39104,"109581.0780"
"Cameroon",38111,"26545.8630"
"Romania",37992,"19237.6910"
"Lesotho",37947,"2142.2490"
"South Sudan",37812,"11193.7250"
"Panama",37808,"4314.7670"
"Papua New Guinea",37724,"8947.0240"
"Equatorial Guinea",37486,"1402.9850"
"Sweden",37225,"10099.2650"
"Mali",36928,"20250.8330"
"Norway",36751,"5421.2410"
"Latvia",36661,"1886.1980"
"Tanzania",36573,"59734.2180"
"Bosnia and Herzegovina",36335,"3280.8190"
"Haiti",36235,"11402.5280"
"Comoros",35075,"869.6010"
"Bangladesh",34813,"164689.3830"
"Taiwan",33914,"23816.7750"
"Lithuania",33792,"2722.2890"
"Denmark",33613,"5792.2020"
"Iceland",33133,"341.2430"
"Nepal",33073,"29136.8080"
"Czech Republic",31571,"10708.9810"
"Turkmenistan",30250,"6031.2000"
"Nigeria",30050,"206139.5890"
"Iran",30035,"83992.9490"
"Turkey",29929,"84339.0670"
"Cambodia",29572,"16718.9650"
"Indonesia",29288,"273523.6150"
"Moldova",28823,"4033.9630"
"New Zealand",28065,"4822.2330"
"Peru",27179,"32971.8540"
"Chile",27168,"19116.2010"
"Guatemala",24759,"17915.5680"
"Saudi Arabia",23708,"34813.8710"
"Kiribati",23485,"119.4490"
"Marshall Islands",23373,"59.1900"
"Uzbekistan",23226,"33469.2030"
"Paraguay",22367,"7132.5380"
"Tuvalu",21809,"11.7920"
"Luxembourg",21615,"625.9780"
"Zimbabwe",20987,"14862.9240"
"Kazakhstan",20896,"18776.7070"
"Bulgaria",19331,"6948.4450"
"United Arab Emirates",19202,"9890.4020"
"Micronesia",18411,"115.0230"
"Kuwait",17784,"4270.5710"
"Azerbaijan",17586,"10139.1770"
"Solomon Islands",14556,"686.8840"
"DR Congo",14008,"89561.4030"
"Russia",13788,"145934.4620"
"Botswana",12775,"2351.6270"
"Estonia",7613,"1326.5350"
"Afghanistan",6884,"38928.3460"
"Brunei",2633,"437.4790"