Año;Fecha;total;mujer;hombre;
2010;Feb-Abr 10;8.8;10.8;7.6;10
2010;Mar-May 10;9.1;11.1;7.7;10
2010;Abr-Jun 10;8.7;10.4;7.5;10
2010;May-Jul 10;8.5;10;7.5;10
2010;Jun-Ago 10;8.4;9.8;7.6;10
2010;Jul-Sep 10;8.1;9.3;7.3;10
2010;Ago-Oct 10;7.8;9.1;7;10
2010;Sep-Nov 10;7.2;8.6;6.3;10
2010;Oct-Dic 10;7.2;8.7;6.2;10
2010;Nov-Ene 10;7.4;9.1;6.3;10
2011;Dic-Feb 11;7.4;9;6.4;11
2011;Ene-Mar 11;7.5;9.2;6.4;11
2011;Feb-Abr 11;7.2;8.9;6.1;11
2011;Mar-May 11;7.3;9.2;6;11
2011;Abr-Jun 11;7.2;8.9;6;11
2011;May-Jul 11;7.6;9;6.5;11
2011;Jun-Ago 11;7.5;8.7;6.7;11
2011;Jul-Sep 11;7.6;9;6.7;11
2011;Ago-Oct 11;7.4;8.9;6.4;11
2011;Sep-Nov 11;7.3;9.1;6.1;11
2011;Oct-Dic 11;6.8;8.4;5.7;11
2011;Nov-Ene 11;6.9;8.2;5.9;11
2012;Dic-Feb 12;6.5;7.9;5.6;12
2012;Ene-Mar 12;6.8;8.8;5.4;12
2012;Feb-Abr 12;6.8;8.7;5.4;12
2012;Mar-May 12;6.9;8.8;5.7;12
2012;Abr-Jun 12;6.8;7.9;6;12
2012;May-Jul 12;6.7;7.9;5.8;12
2012;Jun-Ago 12;6.5;7.8;5.7;12
2012;Jul-Sep 12;6.6;8.1;5.5;12
2012;Ago-Oct 12;6.7;8;5.8;12
2012;Sep-Nov 12;6.4;7.7;5.4;12
2012;Oct-Dic 12;6.2;7.5;5.3;12
2012;Nov-Ene 12;6.1;7.6;5.1;12
2013;Dic-Feb 13;6.4;7.7;5.4;13
2013;Ene-Mar 13;6.4;7.8;5.5;13
2013;Feb-Abr 13;6.5;8;5.5;13
2013;Mar-May 13;6.5;7.8;5.7;13
2013;Abr-Jun 13;6.3;7.2;5.6;13
2013;May-Jul 13;5.9;6.4;5.5;13
2013;Jun-Ago 13;5.8;6.6;5.3;13
2013;Jul-Sep 13;5.9;6.6;5.3;13
2013;Ago-Oct 13;6;6.9;5.3;13
2013;Sep-Nov 13;5.9;6.6;5.3;13
2013;Oct-Dic 13;5.8;6.6;5.2;13
2013;Nov-Ene 13;6.2;7.2;5.6;13
2014;Dic-Feb 14;6.2;7;5.6;14
2014;Ene-Mar 14;6.5;7.2;6;14
2014;Feb-Abr 14;6.1;6.6;5.9;14
2014;Mar-May 14;6.3;6.9;5.9;14
2014;Abr-Jun 14;6.5;6.9;6.2;14
2014;May-Jul 14;6.6;6.9;6.4;14
2014;Jun-Ago 14;6.8;7.2;6.6;14
2014;Jul-Sep 14;6.8;7.2;6.4;14
2014;Ago-Oct 14;6.6;7.1;6.2;14
2014;Sep-Nov 14;6.2;6.8;5.8;14
2014;Oct-Dic 14;6.2;6.9;5.7;14
2014;Nov-Ene 14;6.2;7.2;5.6;14
2015;Dic-Feb 15;6.2;7.1;5.6;15
2015;Ene-Mar 15;6.2;7.4;5.4;15
2015;Feb-Abr 15;6.4;7.5;5.5;15
2015;Mar-May 15;6.8;8.1;5.8;15
2015;Abr-Jun 15;6.7;7.7;5.9;15
2015;May-Jul 15;6.7;7.5;6.1;15
2015;Jun-Ago 15;6.6;7;6.2;15
2015;Jul-Sep 15;6.5;7;6.2;15
2015;Ago-Oct 15;6.4;6.7;6.3;15
2015;Sep-Nov 15;6.2;6.4;6;15
2015;Oct-Dic 15;5.9;6;5.8;15
2015;Nov-Ene 15;5.9;6.6;5.5;15
2016;Dic-Feb 16;6;6.9;5.5;16
2016;Ene-Mar 16;6.5;7.5;5.8;16
2016;Feb-Abr 16;6.6;7.3;6.1;16
2016;Mar-May 16;7;7.6;6.6;16
2016;Abr-Jun 16;7;7.4;6.8;16
2016;May-Jul 16;7.3;7.7;7;16
2016;Jun-Ago 16;7.1;7.6;6.7;16
2016;Jul-Sep 16;7;7.6;6.6;16
2016;Ago-Oct 16;6.7;7.3;6.2;16
2016;Sep-Nov 16;6.4;6.9;6.1;16
2016;Oct-Dic 16;6.2;6.5;6;16
2016;Nov-Ene 16;6.4;6.6;6.2;16
2017;Dic-Feb 17;6.8;7.2;6.5;17
2017;Ene-Mar 17;7;8;6.3;17
2017;Feb-Abr 17;7.1;8;6.4;17
2017;Mar-May 17;7.3;8.4;6.5;17
2017;Abr-Jun 17;7.3;8;6.8;17
2017;May-Jul 17;7.2;7.7;6.8;17
2017;Jun-Ago 17;6.9;7.2;6.7;17
2017;Jul-Sep 17;7;7.2;6.8;17
2017;Ago-Oct 17;7;7.7;6.5;17
2017;Sep-Nov 17;6.7;7.1;6.4;17
2017;Oct-Dic 17;6.5;7;6.2;17
2017;Nov-Ene 17;6.8;7.4;6.4;17
2018;Dic-Feb 18;7;8;6.3;18
2018;Ene-Mar 18;7.4;8.8;6.4;18
2018;Feb-Abr 18;7;8.2;6.1;18
2018;Mar-May 18;7.4;8.5;6.5;18
2018;Abr-Jun 18;7.5;8.4;6.8;18
2018;May-Jul 18;7.9;8.7;7.2;18
2018;Jun-Ago 18;7.7;8.4;7.2;18
2018;Jul-Sep 18;7.5;8;7.1;18
2018;Ago-Oct 18;7.4;7.7;7.2;18
2018;Sep-Nov 18;7.3;7.6;7.1;18
2018;Oct-Dic 18;7.1;7.8;6.6;18
2018;Nov-Ene 18;7.1;8;6.5;18
2019;Dic-Feb 19;7;8.1;6.2;19
2019;Ene-Mar 19;7.2;8.3;6.5;19
2019;Feb-Abr 19;7.1;8.2;6.2;19
2019;Mar-May 19;7.2;8.2;6.5;19
2019;Abr-Jun 19;7.3;7.8;6.9;19
2019;May-Jul 19;7.5;8;7.2;19
2019;Jun-Ago 19;7.6;8;7.3;19
2019;Jul-Sep 19;7.3;8;6.8;19
2019;Ago-Oct 19;7.1;7.9;6.6;19
2019;Sep-Nov 19;7;7.8;6.3;19
2019;Oct-Dic 19;7.1;7.7;6.6;19
2019;Nov-Ene 19;7.4;8.3;6.8;19
2020;Dic-Feb 20;7.8;8.8;7.1;20
2020;Ene-Mar 20;8.2;9.7;7.1;20
2020;Feb-Abr 20;9.0;9.9;8.3;20
