id_region;nombre_region;id_comuna;nombre_comuna;poblacion;casos_totales;tasa
13;Metropolitana;;Alhué;7405;-;0
13;Metropolitana;;Buin;109641;29;36
13;Metropolitana;;Calera de Tango;28525;8;10
13;Metropolitana;;Cerrillos;88956;21;29
13;Metropolitana;;Cerro Navia;142465;42;57
13;Metropolitana;;Colina;180353;66;74
13;Metropolitana;;Conchalí;139195;47;52
13;Metropolitana;;Curacaví;36430;10;13
13;Metropolitana;;El Bosque;172000;64;83
13;Metropolitana;;El Monte;40014;9;10
13;Metropolitana;;Estación Central;206792;61;71
13;Metropolitana;;Huechuraba;112528;38;48
13;Metropolitana;;Independencia;142065;37;52
13;Metropolitana;;Isla de Maipo;40171;10;10
13;Metropolitana;;La Cisterna;100434;34;39
13;Metropolitana;;La Florida;402433;126;165
13;Metropolitana;;La Granja;122557;36;46
13;Metropolitana;;La Pintana;189335;39;55
13;Metropolitana;;La Reina;100252;52;54
13;Metropolitana;;Lampa;126898;26;37
13;Metropolitana;;Las Condes;330759;281;296
13;Metropolitana;;Lo Barnechea;124076;110;116
13;Metropolitana;;Lo Espejo;103865;34;48
13;Metropolitana;;Lo Prado;104403;35;43
13;Metropolitana;;Macul;134635;43;49
13;Metropolitana;;Maipú;578605;167;203
13;Metropolitana;;María Pinto;14926;-;0
13;Metropolitana;;Melipilla;141612;16;17
13;Metropolitana;;Ñuñoa;250192;155;171
13;Metropolitana;;Padre Hurtado;74188;20;26
13;Metropolitana;;Paine;82766;7;8
13;Metropolitana;;Pedro Aguirre Cerda;107803;36;54
13;Metropolitana;;Peñaflor;101058;20;25
13;Metropolitana;;Peñalolén;266798;98;131
13;Metropolitana;;Pirque;30433;9;10
13;Metropolitana;;Providencia;157749;129;136
13;Metropolitana;;Pudahuel;253139;67;78
13;Metropolitana;;Puente Alto;645909;239;322
13;Metropolitana;;Quilicura;254694;79;94
13;Metropolitana;;Quinta Normal;136368;69;84
13;Metropolitana;;Recoleta;190075;61;73
13;Metropolitana;;Renca;160847;28;42
13;Metropolitana;;San Bernardo;334836;117;140
13;Metropolitana;;San Joaquín;103485;52;58
13;Metropolitana;;San José de Maipo;18644;4;4
13;Metropolitana;;San Miguel;133059;69;86
13;Metropolitana;;San Pedro;11953;-;0
13;Metropolitana;;San Ramón;86510;18;20
13;Metropolitana;;Santiago;503147;321;375
13;Metropolitana;;Talagante;81838;18;21
13;Metropolitana;;Tiltil;21477;4;4
13;Metropolitana;;Vitacura;96774;119;127
13;Metropolitana;;Por determinar;;13;1